municipality,typology,latitude,longitude,observations,median_asking_price,median_sqm_price
Mönsterås kommun,HOUSE,57.03614100894991,16.364116084800003,6,1745000.0,9255.769772023643
Mörbylånga kommun,HOUSE,56.64875199065,16.4837828,8,2997500.0,19576.60851785792
Nacka kommun,HOUSE,59.3298225,18.2776718,3,7995000.0,54387.755102040814
Nora kommun,HOUSE,59.5115735,15.032310899999999,6,2197500.0,12403.846153846154
Nordanstigs kommun,HOUSE,61.99144766328701,17.252467735473658,4,1425000.0,7220.412904468023
Nordmalings kommun,HOUSE,63.574913,19.516367,3,1300000.0,7662.721893491124
Norrköpings kommun,HOUSE,58.60153083385884,16.22763484387462,28,4347500.0,26602.985829959514
Norrtälje kommun,HOUSE,59.74838465328156,18.719717350000003,24,3697500.0,28495.516877637132
Nybro kommun,HOUSE,56.74298657464,15.901043040104074,6,1825000.0,8881.423158891783
Nykvarns kommun,HOUSE,59.18284453785,17.4203273327,8,4495000.0,29746.946971559708
Nyköpings kommun,HOUSE,58.7424935915,16.94014,13,4150000.0,23051.28205128205
Nynäshamns kommun,HOUSE,59.0233879,17.8711034368,5,4595000.0,32338.12949640288
Nässjö kommun,HOUSE,57.654421535,14.6901827,5,1750000.0,7142.857142857143
Ockelbo kommun,HOUSE,60.96488525765085,16.67915,3,2195000.0,10305.164319248826
Olofströms kommun,HOUSE,56.229927374,14.6079155359,1,695000.0,4398.734177215189
Orsa kommun,HOUSE,61.1328796826,14.6377717,3,1695000.0,7466.960352422908
Orust kommun,HOUSE,58.1725496,11.6841154,5,3650000.0,23397.4358974359
Osby kommun,HOUSE,56.38259,13.9831466682,5,1595000.0,8952.095808383234
Oskarshamns kommun,HOUSE,57.2723554092,16.4444942,9,1550000.0,11160.0
Ovanåkers kommun,HOUSE,61.3832200371,15.8725520388,1,850000.0,11038.961038961039
Oxelösunds kommun,HOUSE,58.67631460145,17.0651210821,2,2812500.0,10643.115942028984
Partille kommun,HOUSE,57.7318459,12.0945387,9,6650000.0,38646.408839779004
Perstorps kommun,HOUSE,56.1458054342,13.3935547532,4,1672500.0,7443.693693693694
Piteå kommun,HOUSE,65.31945037841797,21.4482270841,7,1650000.0,12313.432835820895
Ragunda kommun,HOUSE,63.082022057557,16.4455204192425,2,342500.0,2987.695749440716
Robertsfors kommun,HOUSE,64.19656499999999,20.84683245,2,1322500.0,5788.63796753705
Ronneby kommun,HOUSE,56.2053135,15.2828204518,14,1645000.0,10233.240385732544
Rättviks kommun,HOUSE,60.945256851397,15.076195026362349,4,2667500.0,17487.60352376431
Sala kommun,HOUSE,59.9121787209,16.570194807100002,6,2172500.0,10807.539682539682
Salems kommun,HOUSE,59.188501875105544,17.729669475019662,2,7795000.0,40092.59505804665
Sandvikens kommun,HOUSE,60.6054925802,16.7525773702,16,2200000.0,11802.74024024024
Sigtuna kommun,HOUSE,59.62726,17.8356457,9,4550000.0,29545.454545454544
Simrishamns kommun,HOUSE,55.5378876,14.279706,19,4950000.0,24683.734939759037
Sjöbo kommun,HOUSE,55.6366959,13.7101574,17,1995000.0,13193.832599118943
Skara kommun,HOUSE,58.3902649555,13.3964908138,2,1475000.0,12477.106227106227
Skellefteå kommun,HOUSE,64.734685,20.935948500000002,18,2325000.0,13857.419648962845
Skinnskattebergs kommun,HOUSE,59.799637575875025,15.70079197335,4,785000.0,3501.3876040703053
Skurups kommun,HOUSE,55.47386495544271,13.5152647822,7,3695000.0,17936.893203883494
Skövde kommun,HOUSE,58.37613655,13.83469331345,14,3572500.0,15380.01070991432
Smedjebackens kommun,HOUSE,60.02466,15.7160883,1,2695000.0,22458.333333333332
Sollentuna kommun,HOUSE,59.4544424116,17.9234622,10,7947500.0,47008.15217391304
Sotenäs kommun,HOUSE,58.42712677590001,11.358814250150001,2,4372500.0,52448.4004127967
Staffanstorps kommun,HOUSE,55.649839400000005,13.18435,2,7745000.0,40839.62639109698
Stenungsunds kommun,HOUSE,58.0688407975,11.9028435,11,2995000.0,26263.157894736843
Stockholms kommun,HOUSE,59.3546879546,17.920478972636474,23,7500000.0,41640.625
Storfors kommun,HOUSE,59.4779100178593,14.348296196550297,2,772500.0,6667.287630402385
Storumans kommun,HOUSE,65.38338385,16.45117235,2,1145000.0,4340.277777777777
Strängnäs kommun,HOUSE,59.32177725,17.067174525218498,22,4095000.0,27717.391304347824
Strömstads kommun,HOUSE,58.9462041400882,11.191168911150001,14,4622500.0,33418.40536512667
Strömsunds kommun,HOUSE,63.856292227275,15.557330555603,3,590000.0,2468.6192468619247
Sundsvalls kommun,HOUSE,62.4019356,17.3257942,49,2950000.0,16638.88888888889
Surahammars kommun,HOUSE,59.70733233548724,16.2187385559,7,2195000.0,12788.461538461539
Svalövs kommun,HOUSE,55.9980464236,13.096064688568116,4,2145000.0,12825.089065497397
Svedala kommun,HOUSE,55.58057,13.2268953,3,3950000.0,29267.241379310344
Svenljunga kommun,HOUSE,57.54158340595,13.11103170925,6,1050000.0,6501.747986016111
Säters kommun,HOUSE,60.393267742461504,15.606608533394535,4,1310000.0,9566.570881226053
Sävsjö kommun,HOUSE,57.3197169385,14.6711483,3,1475000.0,10000.0
Söderhamns kommun,HOUSE,61.2854958,16.9600582,13,1995000.0,12051.724137931034
Söderköpings kommun,HOUSE,58.47509617591299,16.312894593603502,5,2795000.0,15064.655172413793
Södertälje kommun,HOUSE,59.1573545,17.5680822787,21,4495000.0,29389.31297709924
Sölvesborgs kommun,HOUSE,56.0493157083,14.6066427,5,1495000.0,6674.757281553398
Tanums kommun,HOUSE,58.72695,11.3223972,9,2300000.0,15540.54054054054
Tibro kommun,HOUSE,58.4199903447,14.1668348654,5,2300000.0,11474.358974358975
Tidaholms kommun,HOUSE,58.1804055087,13.95893518383715,3,2175000.0,12357.954545454546
Tierps kommun,HOUSE,60.36990259435467,17.517281186217367,10,2722500.0,12870.090862438494
Timrå kommun,HOUSE,62.5052967,17.39410495,10,1547500.0,13383.547910510764
Tingsryds kommun,HOUSE,56.5331675667,14.9772053,3,2200000.0,8835.341365461847
Tjörns kommun,HOUSE,57.980704591626974,11.593387129205272,6,4845000.0,26066.433566433567
Tomelilla kommun,HOUSE,55.542587433899996,13.943269882611505,6,2522500.0,13353.641456582633
Torsby kommun,HOUSE,60.39170716043266,12.968822548155401,2,2847500.0,20674.845041322315
Torsås kommun,HOUSE,56.4120771,15.9881657,1,1400000.0,9333.333333333334
Tranemo kommun,HOUSE,57.4902765468,13.3325651669,3,1395000.0,9961.538461538461
Tranås kommun,HOUSE,58.0220938234,14.9879878084,1,2250000.0,14705.882352941177
Trelleborgs kommun,HOUSE,55.377323131,13.1648636,25,4695000.0,26379.310344827587
Trollhättans kommun,HOUSE,58.2771906137,12.26606747314139,9,2975000.0,19968.75
Trosa kommun,HOUSE,58.94258,17.4924545,5,6995000.0,37010.58201058201
Tyresö kommun,HOUSE,59.2301979,18.2137235194,7,7000000.0,41176.470588235294
Täby kommun,HOUSE,59.4542101885,18.0840645,3,9495000.0,61609.58904109589
Töreboda kommun,HOUSE,58.70218836695,14.137000971900001,6,1387500.0,6888.147249190939
Uddevalla kommun,HOUSE,58.3461867199,11.8900515012,29,3295000.0,23423.423423423425
Ulricehamns kommun,HOUSE,57.69887844100868,13.43496,9,975000.0,8057.851239669421
Umeå kommun,HOUSE,63.8174324,20.2587836,34,4395000.0,26091.042824452437
Upplands Väsby kommun,HOUSE,59.5205919411,17.938826707,4,6995000.0,29515.293405497792
Upplands-Bro kommun,HOUSE,59.5039558,17.6756687,7,5795000.0,31840.659340659342
Uppsala kommun,HOUSE,59.86895,17.7023565,33,5495000.0,30197.36842105263
